JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
141677955,1,27960,0.010856,0.011064,55506.311064,NIKHEF-ELPROD,MCSimulation
141667733,1,18047,0.010856,0.011064,55514.851064,RAL-LCG2,MCSimulation
141659375,1,10987,0.010856,0.011064,55518.111064,RAL-LCG2,MCSimulation
141705742,1,56131,0.011280,0.011388,55517.931388,CH-CHIPP-CSCS,MCSimulation
141707810,1,58458,0.011280,0.011388,55519.231388,CERN-PROD,MCSimulation
141686357,1,37329,0.011096,0.011107,55523.771107,FZK-LCG2,MCSimulation
141700145,1,50824,0.011139,0.011150,55520.701150,UK-NorthGrid,MCSimulation
141683497,1,34389,0.011074,0.011085,55526.381085,INFN-T1,MCSimulation
141648369,1,1823,0.010108,0.010216,55532.730216,IN2P3-CC,MCSimulation
141689981,1,41183,0.011096,0.011107,55535.451107,pic,MCSimulation
141729847,1,82939,0.012915,0.012925,55546.152925,INFN-T1,MCSimulation
141725777,1,78768,0.012915,0.012925,55543.072925,FZK-LCG2,MCSimulation
141707513,1,58193,0.011280,0.011388,55544.961388,PL-TIER2-WLCG,MCSimulation
141668686,1,18667,0.010856,0.011064,55553.721064,CERN-PROD,MCSimulation
141677925,1,27951,0.010856,0.011064,55553.541064,UK-NorthGrid,MCSimulation
141673786,1,23324,0.010856,0.011064,55555.341064,UK-London-Tier2,MCSimulation
141713915,1,65827,0.012146,0.012254,55560.412254,UK-NorthGrid,MCSimulation
141720953,1,73610,0.012915,0.012925,55564.682925,RAL-LCG2,MCSimulation
